split,metrics,feature
4.35,0.6621923937360179,sepal_length
4.45,0.6484018264840183,sepal_length
4.55,0.6436781609195401,sepal_length
4.65,0.624113475177305,sepal_length
4.75,0.6139088729016785,sepal_length
4.85,0.5870646766169154,sepal_length
4.95,0.5812026515151515,sepal_length
5.05,0.5467867231638418,sepal_length
5.15,0.49824718430670545,sepal_length
5.25,0.482116402116402,sepal_length
5.35,0.4742196209587514,sepal_length
5.45,0.4389063317634747,sepal_length
5.55,0.44862482150617733,sepal_length
5.65,0.4746907993966817,sepal_length
5.75,0.47547885904050285,sepal_length
5.85,0.49190476190476184,sepal_length
5.95,0.4996703230833782,sepal_length
6.05,0.511819242340517,sepal_length
6.15,0.5195534290271132,sepal_length
6.25,0.5284214695979401,sepal_length
6.35,0.5577601410934744,sepal_length
6.45,0.5800414078674948,sepal_length
6.55,0.5977777777777779,sepal_length
6.65,0.590944574551132,sepal_length
6.75,0.6033333333333333,sepal_length
6.85,0.6079905646469114,sepal_length
6.95,0.6168819015534344,sepal_length
7.05,0.608695652173913,sepal_length
7.15,0.6139088729016785,sepal_length
7.25,0.6291079812206573,sepal_length
7.35,0.634032634032634,sepal_length
7.5,0.638888888888889,sepal_length
7.65,0.6436781609195401,sepal_length
7.800000000000001,0.6621923937360179,sepal_length
2.1,0.6621923937360179,sepal_width
2.25,0.658675799086758,sepal_width
2.3499999999999996,0.6519953051643194,sepal_width
2.45,0.6387617178984085,sepal_width
2.55,0.6366680058925942,sepal_width
2.6500000000000004,0.6289682539682541,sepal_width
2.75,0.6148666148666148,sepal_width
2.8499999999999996,0.5934035667561799,sepal_width
2.95,0.5689492548575741,sepal_width
3.05,0.5550560450758255,sepal_width
3.1500000000000004,0.5540780141843972,sepal_width
3.25,0.5491559805839311,sepal_width
3.3499999999999996,0.539743283106115,sepal_width
3.45,0.5755733333333333,sepal_width
3.55,0.6085442614169011,sepal_width
3.6500000000000004,0.6182716049382716,sepal_width
3.75,0.6328502415458938,sepal_width
3.8499999999999996,0.638888888888889,sepal_width
3.95,0.6484018264840183,sepal_width
4.05,0.653061224489796,sepal_width
4.15,0.6576576576576576,sepal_width
4.300000000000001,0.6621923937360179,sepal_width
1.05,0.6621923937360179,petal_length
1.15,0.6576576576576576,petal_length
1.25,0.6484018264840183,petal_length
1.35,0.6139088729016785,petal_length
1.45,0.5396825396825398,petal_length
1.55,0.44837758112094395,petal_length
1.65,0.389937106918239,petal_length
1.7999999999999998,0.3529411764705882,petal_length
2.45,0.3333333333333333,petal_length
3.15,0.3430382253911666,petal_length
3.4,0.3607599040394217,petal_length
3.55,0.3763955342902712,petal_length
3.6500000000000004,0.38348530901722394,petal_length
3.75,0.3901150726278061,petal_length
3.8499999999999996,0.3963018490754624,petal_length
3.95,0.41235341069564685,petal_length
4.05,0.43145743145743154,petal_length
4.15,0.4387189121488638,petal_length
4.25,0.44381189586669034,petal_length
4.35,0.4444444444444443,petal_length
4.45,0.44190883698817374,petal_length
4.55,0.4342273307790551,petal_length
4.65,0.4218518518518518,petal_length
4.75,0.39323763955342905,petal_length
4.85,0.39770251534957424,petal_length
4.95,0.40858416945373466,petal_length
5.05,0.4254850088183422,petal_length
5.15,0.47126436781609204,petal_length
5.25,0.4858757062146893,petal_length
5.35,0.5,petal_length
5.45,0.5136612021857923,petal_length
5.55,0.5333333333333332,petal_length
5.65,0.5699745547073792,petal_length
5.75,0.5870646766169154,petal_length
5.85,0.6034063260340633,petal_length
5.95,0.6139088729016785,petal_length
6.05,0.624113475177305,petal_length
6.199999999999999,0.638888888888889,petal_length
6.35,0.6436781609195401,petal_length
6.5,0.6484018264840183,petal_length
6.65,0.653061224489796,petal_length
6.800000000000001,0.6621923937360179,petal_length
0.15000000000000002,0.6436781609195401,petal_width
0.25,0.47126436781609204,petal_width
0.35,0.4159021406727828,petal_width
0.45,0.3529411764705882,petal_width
0.55,0.3432343234323433,petal_width
0.8,0.3333333333333333,petal_width
1.05,0.3901150726278061,petal_width
1.15,0.40740740740740733,petal_width
1.25,0.42835595776772245,petal_width
1.35,0.443019943019943,petal_width
1.45,0.43762112403100767,petal_width
1.55,0.4051543694400838,petal_width
1.65,0.3905228758169934,petal_width
1.75,0.39060758082497204,petal_width
1.85,0.47126436781609204,petal_width
1.95,0.5068870523415978,petal_width
2.05,0.5459317585301837,petal_width
2.1500000000000004,0.5814536340852131,petal_width
2.25,0.5980392156862746,petal_width
2.3499999999999996,0.638888888888889,petal_width
2.45,0.653061224489796,petal_width
